iter	Passed	Remaining
0	2	2754
1	5	2527
2	7	2565
3	18	4530
4	24	4862
5	26	4422
6	29	4120
7	31	3855
8	33	3663
9	35	3490
10	37	3403
11	40	3365
12	43	3264
13	45	3185
14	47	3112
15	49	3042
16	51	2977
17	54	2960
18	56	2910
19	61	3037
20	66	3099
21	72	3200
22	74	3146
23	76	3094
24	78	3051
25	80	3016
26	82	2977
27	84	2950
28	87	2924
29	89	2893
30	91	2859
31	93	2834
32	95	2805
33	97	2780
34	99	2752
35	104	2785
36	107	2805
37	111	2825
38	121	2981
39	123	2957
40	125	2929
41	127	2907
42	129	2880
43	131	2854
44	133	2835
45	136	2831
46	138	2814
47	140	2795
48	142	2774
49	145	2758
50	147	2739
51	149	2731
52	151	2713
53	155	2717
54	162	2794
55	170	2869
56	172	2854
57	174	2836
58	176	2817
59	178	2799
60	180	2780
61	183	2771
62	185	2756
63	187	2742
64	189	2727
65	191	2713
66	193	2700
67	195	2686
68	198	2677
69	200	2665
70	205	2691
71	210	2713
72	218	2770
73	220	2756
74	222	2744
75	224	2731
76	226	2720
77	229	2708
78	231	2698
79	233	2685
80	235	2673
81	237	2661
82	239	2650
83	241	2638
84	244	2629
85	246	2618
86	248	2610
87	254	2633
88	261	2678
89	266	2698
90	268	2686
91	270	2673
92	273	2666
93	275	2654
94	277	2643
95	279	2636
96	282	2626
97	284	2619
98	286	2609
99	288	2600
100	290	2589
101	293	2581
102	295	2576
103	297	2566
104	301	2573
105	307	2590
106	311	2598
107	315	2602
108	317	2594
109	319	2584
110	321	2574
111	323	2565
112	325	2557
113	328	2551
114	330	2542
115	332	2534
116	334	2524
117	336	2516
118	338	2507
119	341	2502
120	343	2494
121	345	2488
122	349	2491
123	354	2503
124	358	2512
125	363	2521
126	365	2514
127	367	2505
128	369	2497
129	371	2488
130	373	2480
131	376	2474
132	378	2467
133	380	2461
134	383	2454
135	385	2449
136	387	2440
137	389	2432
138	393	2434
139	396	2438
140	400	2441
141	412	2491
142	415	2489
143	417	2483
144	421	2487
145	425	2487
146	427	2479
147	430	2476
148	432	2469
149	435	2465
150	437	2462
151	442	2466
152	456	2528
153	461	2537
154	464	2531
155	466	2523
156	468	2517
157	470	2509
158	474	2508
159	477	2506
160	479	2498
161	481	2491
162	483	2483
163	485	2476
164	488	2470
165	500	2516
166	510	2544
167	512	2536
168	514	2529
169	516	2522
170	518	2515
171	521	2508
172	523	2502
173	525	2495
174	527	2488
175	529	2480
176	532	2474
177	534	2467
178	536	2461
179	538	2454
180	541	2448
181	547	2460
182	553	2471
183	559	2479
184	561	2472
